FuncID,Name,Type,Desc,nb1_mean,nb1_std,nb1_best,nb1_worst,nb1_median,nb2_mean,nb2_std,nb2_best,nb2_worst,nb2_median,sig_nb2,p_nb2,nb3_mean,nb3_std,nb3_best,nb3_worst,nb3_median,sig_nb3,p_nb3,nb5_mean,nb5_std,nb5_best,nb5_worst,nb5_median,sig_nb5,p_nb5,nb7_mean,nb7_std,nb7_best,nb7_worst,nb7_median,sig_nb7,p_nb7,nb9_mean,nb9_std,nb9_best,nb9_worst,nb9_median,sig_nb9,p_nb9,fr_nb1,fr_nb2,fr_nb3,fr_nb5,fr_nb7,fr_nb9,best_nb
1,F1,Unimodal,Sphere,1.5158245029548804e-14,5.6716959485340666e-14,0.0,2.2737367544323206e-13,0.0,0.0,0.0,0.0,0.0,0.0,=,0.15729920705028502,0.0,0.0,0.0,0.0,0.0,=,0.15729920705028502,0.0,0.0,0.0,0.0,0.0,=,0.15729920705028502,0.0,0.0,0.0,0.0,0.0,=,0.15729920705028502,0.0,0.0,0.0,0.0,0.0,=,0.15729920705028502,6.0,3.0,3.0,3.0,3.0,3.0,2
2,F2,Unimodal,Schwefel 1.2,3772.918298898135,784.6842184138557,2465.200534461909,5655.635673178612,3597.8858551478434,551.044946598731,130.3147988716967,286.7158748725801,783.4014216790522,543.3585224030955,+,1.862645149230957e-09,273.5867876225799,75.47819589580571,132.41070231658455,422.0181102102772,280.571039886663,+,1.862645149230957e-09,166.43716844461312,49.98328150201797,71.17200989402318,243.8259336500546,177.40140722805734,+,1.862645149230957e-09,118.09664907366201,42.8173179385298,43.95172317614811,215.10365703472644,114.73586568354165,+,1.862645149230957e-09,118.56741858180067,54.28119809495463,48.985713828054486,253.747968590661,100.42433078060299,+,1.862645149230957e-09,6.0,5.0,4.0,3.0,1.0,2.0,7
3,F3,Unimodal,Rotated Elliptic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,=,,0.0,0.0,0.0,0.0,0.0,=,,0.0,0.0,0.0,0.0,0.0,=,,0.0,0.0,0.0,0.0,0.0,=,,0.0,0.0,0.0,0.0,0.0,=,,3.5,3.5,3.5,3.5,3.5,3.5,1
4,F4,Unimodal,Schwefel 1.2 Noise,1.0989727646422883e-13,2.040741191776193e-14,0.0,1.1368683772161603e-13,1.1368683772161603e-13,8.715990891990563e-14,4.808414185864087e-14,0.0,1.1368683772161603e-13,1.1368683772161603e-13,+,0.033894853524689246,9.473903143468003e-14,4.2368582882086786e-14,0.0,1.1368683772161603e-13,1.1368683772161603e-13,+,0.0455002638963584,7.200166389035682e-14,5.478505156892181e-14,0.0,1.1368683772161603e-13,1.1368683772161603e-13,+,0.001565402258002548,9.473903143468003e-14,4.2368582882086786e-14,0.0,1.1368683772161603e-13,1.1368683772161603e-13,=,0.10247043485974941,1.0610771520684163e-13,2.8358479742670333e-14,0.0,1.1368683772161603e-13,1.1368683772161603e-13,=,0.5637028616507731,6.0,2.0,3.5,1.0,3.5,5.0,5
5,F5,Unimodal,Schwefel 2.6,8.337034766251842e-14,5.0274211243283084e-14,0.0,1.1368683772161603e-13,1.1368683772161603e-13,6.821210263296962e-14,5.5694948577710835e-14,0.0,1.1368683772161603e-13,1.1368683772161603e-13,=,0.28504940740261275,5.684341886080802e-14,5.684341886080802e-14,0.0,1.1368683772161603e-13,5.684341886080802e-14,=,0.05220363534131467,4.168517383125921e-14,5.478505156892181e-14,0.0,1.1368683772161603e-13,0.0,+,0.0045086983649042355,4.9264296346033615e-14,5.6335878174492883e-14,0.0,1.1368683772161603e-13,0.0,+,0.012554918596966547,4.168517383125921e-14,5.478505156892181e-14,0.0,1.1368683772161603e-13,0.0,+,0.007632881787792299,6.0,5.0,4.0,1.5,3.0,1.5,5
6,F6,Multimodal,Shifted Rosenbrock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,=,,0.0,0.0,0.0,0.0,0.0,=,,27.221394466207688,15.450383085306326,0.0,47.43461715920864,33.065486100130784,-,8.29809930635731e-06,49.491541991714364,17.3279658293024,1.9899181141865938,69.38606856145884,53.229079095988766,-,1.733306644199106e-06,61.61832948389394,16.59426770610351,1.9899181141865938,81.39825286275322,66.93371571075278,-,1.862645149230957e-09,2.0,2.0,2.0,4.0,5.0,6.0,1
7,F7,Multimodal,Shifted Griewank,7.579122514774402e-15,2.8358479742670333e-14,0.0,1.1368683772161603e-13,0.0,1.242976092423002e-12,6.546686161049501e-12,0.0,3.6493474908638746e-11,0.0,=,0.1974660733580187,1.1368683772161604e-14,3.410605131648481e-14,0.0,1.1368683772161603e-13,0.0,=,0.6547208460185769,0.0,0.0,0.0,0.0,0.0,=,0.15729920705028502,0.0,0.0,0.0,0.0,0.0,=,0.15729920705028502,0.0,0.0,0.0,0.0,0.0,=,0.15729920705028502,4.0,6.0,5.0,2.0,2.0,2.0,5
8,F8,Multimodal,Shifted Ackley,3.8943161239692095,2.830079008662728,0.654911109836462,10.722526203886105,2.8951603877118828,30.49937481438608,19.07182784654804,17.19838187605012,79.41270895991363,23.765113205974615,-,1.862645149230957e-09,25.688808725525796,14.918197094614383,11.06661250072682,79.39425553429169,21.697181529842737,-,1.862645149230957e-09,12.182522217583623,11.287218723177686,0.741812037145678,70.82165759904524,10.705090128636755,-,4.6566128730773926e-08,0.6479749274155021,1.3344798284966055,0.0018547659393561844,6.73822938107412,0.22059401450479754,+,5.587935447692871e-09,0.4244056463298686,1.1928028528730226,3.969448243879015e-06,3.989775692785315,0.0063852490292219954,+,1.30385160446167e-07,3.0,6.0,5.0,4.0,2.0,1.0,9
9,F9,Multimodal,Shifted Rastrigin,2.403457124463178e-05,9.266367724232987e-06,1.115980381882764e-05,5.7695070267982373e-05,2.280834624457384e-05,6.991266824722212e-10,2.757537052460131e-10,2.796127773763146e-10,1.28176225189236e-09,6.57905729894992e-10,+,1.862645149230957e-09,2.5958494613102325e-12,9.904828678842578e-13,1.2505552149377763e-12,6.480149750132114e-12,2.3305801732931286e-12,+,1.862645149230957e-09,1.7053025658242404e-13,2.0756281837186107e-14,1.1368683772161603e-13,2.2737367544323206e-13,1.7053025658242404e-13,+,1.862645149230957e-09,1.4400332778071363e-13,2.8358479742670336e-14,1.1368683772161603e-13,1.7053025658242404e-13,1.7053025658242404e-13,+,1.862645149230957e-09,1.3073986337985842e-13,2.6048926968973322e-14,1.1368683772161603e-13,1.7053025658242404e-13,1.1368683772161603e-13,+,1.862645149230957e-09,6.0,5.0,4.0,3.0,2.0,1.0,9
10,F10,Multimodal,Shifted Rastrigin Rot.,17.824160726649513,5.976342975635476,5.684341886080802e-14,20.011848787153838,19.982401525553882,20.059212205907404,0.007028646753018668,20.045237337537515,20.072855080485454,20.05815512193368,-,1.862645149230957e-09,20.133008448066615,0.014300212848990464,20.101069737724288,20.15928853767292,20.134073867014962,-,1.862645149230957e-09,20.258757399412524,0.018591299213235768,20.215287684528732,20.293788447208726,20.261424245261225,-,1.862645149230957e-09,20.337340474986227,0.03542332067243473,20.214712362204637,20.41237305005302,20.34489880891428,-,1.862645149230957e-09,20.42194556344003,0.026765058836364188,20.335526103344478,20.459972572538675,20.42308704922027,-,1.862645149230957e-09,1.0,2.0,3.0,4.0,5.0,6.0,1
